County ,County Type,Rating Area,Issuer Name,Plan Type,Unemployment denominator,Unemployment numerator,Uninsured adult  numerator,Uninsured adult denominator,Uninsured children denominator,Uninsured children numerator,Primarycare physicians numerator,Primarycare physicians denominator,Median family income,Median household income,Population,Per capita income,Couple 1 child Age 21,Couple 1 child Age 30,Couple 1 child Age 40,Couple 1 child Age 50,Couple 2 children Age 21,Couple 2 children Age 30,Couple 2 children Age 40,Couple 2 children Age 50,Couple 3 or more Children Age 21,Couple 3 or more Children Age 30,Couple 3 or more Children Age 40,Couple 3 or more Children Age 50,Drug Deductible - family - standard,Drug Deductible - individual - standard,Drug Maximum Out of Pocket - Family  - standard,Drug Maximum Out of Pocket - individual - standard,Emergency Room  - standard,Fips,Generic Drugs - standard,Individual 1 child Age 21,Individual 1 child Age 30,Individual 1 child Age 40,Individual 1 child Age 50,Individual 2 children Age 21,Individual 2 children Age 30,Individual 2 children Age 40,Individual 2 children Age 50,Individual 3 or more children Age 21,Individual 3 or more children Age 30,Individual 3 or more children Age 40,Individual 3 or more children Age 50,Inpatient Facility  - standard,Inpatient Physician - standard,Medical Deductible - individual - standard,Medical Deductible -family - standard,Medical Maximum Out Of Pocket - individual - standard,Medical Maximum Out of Pocket - family - standard,Non-preferred Brand Drugs - standard,Preferred Brand Drugs - standard,Premium Adult Individual Age 21,Premium Adult Individual Age 27,Premium Adult Individual Age 30,Premium Adult Individual Age 40,Premium Adult Individual Age 50,Premium Adult Individual Age 60,Premium Child,Premium Couple 21,Premium Couple 30,Premium Couple 40,Premium Couple 50,Premium Couple 60,Primary Care Physician  - standard,Specialist  - standard,Specialty Drugs - standard,Quality of life(Quartile),Quality of life(Rank),clinicalcare(Quartile),clinicalcare(Rank),healthbehavior(Rank),healthbehaviour(Quartile),physical(Quartile),physical(Rank),socioeconomic(Quartile),socioeconomic(Rank),Length of life(Quartile),Length of life(Rank)
Adams,Rural,10,Blue Cross Blue Shield of Illinois,PPO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,706.6,779,855.68,1128.14,876.88,949.28,1025.96,1298.42,1047.16,1119.56,1196.24,1468.7,0,0,Included in Medical,Included in Medical,400,17001,0,438.44,474.64,512.98,649.21,608.72,644.92,683.26,819.49,779,815.2,853.54,989.77,200,0,3,9,3,9,75,35,268.16,281.02,304.36,342.7,478.93,727.78,170.28,536.32,608.72,685.4,957.86,1455.56,30,50,150,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,706.6,779,855.68,1128.14,876.88,949.28,1025.96,1298.42,1047.16,1119.56,1196.24,1468.7,0,0,Included in Medical,Included in Medical,400,17009,0,438.44,474.64,512.98,649.21,608.72,644.92,683.26,819.49,779,815.2,853.54,989.77,200,0,3,9,3,9,75,35,268.16,281.02,304.36,342.7,478.93,727.78,170.28,536.32,608.72,685.4,957.86,1455.56,30,50,150,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,706.6,779,855.68,1128.14,876.88,949.28,1025.96,1298.42,1047.16,1119.56,1196.24,1468.7,0,0,Included in Medical,Included in Medical,400,17009,0,438.44,474.64,512.98,649.21,608.72,644.92,683.26,819.49,779,815.2,853.54,989.77,200,0,3,9,3,9,75,35,268.16,281.02,304.36,342.7,478.93,727.78,170.28,536.32,608.72,685.4,957.86,1455.56,30,50,150,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,706.6,779,855.68,1128.14,876.88,949.28,1025.96,1298.42,1047.16,1119.56,1196.24,1468.7,0,0,Included in Medical,Included in Medical,400,17017,0,438.44,474.64,512.98,649.21,608.72,644.92,683.26,819.49,779,815.2,853.54,989.77,200,0,3,9,3,9,75,35,268.16,281.02,304.36,342.7,478.93,727.78,170.28,536.32,608.72,685.4,957.86,1455.56,30,50,150,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,706.6,779,855.68,1128.14,876.88,949.28,1025.96,1298.42,1047.16,1119.56,1196.24,1468.7,0,0,Included in Medical,Included in Medical,400,17017,0,438.44,474.64,512.98,649.21,608.72,644.92,683.26,819.49,779,815.2,853.54,989.77,200,0,3,9,3,9,75,35,268.16,281.02,304.36,342.7,478.93,727.78,170.28,536.32,608.72,685.4,957.86,1455.56,30,50,150,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,Blue Cross Blue Shield of Illinois,PPO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,706.6,779,855.68,1128.14,876.88,949.28,1025.96,1298.42,1047.16,1119.56,1196.24,1468.7,0,0,Included in Medical,Included in Medical,400,17001,0,438.44,474.64,512.98,649.21,608.72,644.92,683.26,819.49,779,815.2,853.54,989.77,200,0,3,9,3,9,75,35,268.16,281.02,304.36,342.7,478.93,727.78,170.28,536.32,608.72,685.4,957.86,1455.56,30,50,150,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,881.67,972.01,1067.71,1407.65,1094.14,1184.48,1280.18,1620.12,1306.61,1396.94,1492.65,1832.59,0,0,Included in Medical,Included in Medical,500,17009,10,547.07,592.24,640.09,810.06,759.54,804.71,852.56,1022.53,972.01,1017.18,1065.03,1235,750,25,750,1,3,6,75,35,334.6,350.66,379.77,427.62,597.59,908.09,212.47,669.2,759.54,855.24,1195.18,1816.18,20,75,25,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,881.67,972.01,1067.71,1407.65,1094.14,1184.48,1280.18,1620.12,1306.61,1396.94,1492.65,1832.59,0,0,Included in Medical,Included in Medical,500,17009,10,547.07,592.24,640.09,810.06,759.54,804.71,852.56,1022.53,972.01,1017.18,1065.03,1235,750,25,750,1,3,6,75,35,334.6,350.66,379.77,427.62,597.59,908.09,212.47,669.2,759.54,855.24,1195.18,1816.18,20,75,25,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,881.67,972.01,1067.71,1407.65,1094.14,1184.48,1280.18,1620.12,1306.61,1396.94,1492.65,1832.59,0,0,Included in Medical,Included in Medical,500,17017,10,547.07,592.24,640.09,810.06,759.54,804.71,852.56,1022.53,972.01,1017.18,1065.03,1235,750,25,750,1,3,6,75,35,334.6,350.66,379.77,427.62,597.59,908.09,212.47,669.2,759.54,855.24,1195.18,1816.18,20,75,25,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,881.67,972.01,1067.71,1407.65,1094.14,1184.48,1280.18,1620.12,1306.61,1396.94,1492.65,1832.59,0,0,Included in Medical,Included in Medical,500,17017,10,547.07,592.24,640.09,810.06,759.54,804.71,852.56,1022.53,972.01,1017.18,1065.03,1235,750,25,750,1,3,6,75,35,334.6,350.66,379.77,427.62,597.59,908.09,212.47,669.2,759.54,855.24,1195.18,1816.18,20,75,25,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,881.67,972.01,1067.71,1407.65,1094.14,1184.48,1280.18,1620.12,1306.61,1396.94,1492.65,1832.59,0,0,Included in Medical,Included in Medical,500,17001,10,547.07,592.24,640.09,810.06,759.54,804.71,852.56,1022.53,972.01,1017.18,1065.03,1235,750,25,750,1,3,6,75,35,334.6,350.66,379.77,427.62,597.59,908.09,212.47,669.2,759.54,855.24,1195.18,1816.18,20,75,25,3,53,1,12,66,3,2,38,1,24,2,42
Bureau,Rural,6,Coventry Health Care,PPO,55487,2440,5450,86409,23504,556,32,104733,55217,45692,34978,24103,348.74,384.48,422.34,556.79,432.78,468.52,506.38,640.84,516.81,552.55,590.42,724.88,0,0,Included in Medical,Included in Medical,0,17011,0,216.39,234.26,253.19,320.42,300.43,318.3,337.23,404.46,384.47,402.34,421.27,488.5,0,0,6,12,6,12,0,0,132.35,138.71,150.22,169.15,236.38,359.21,84.04,264.7,300.44,338.3,472.76,718.42,25,0,0,1,23,1,24,22,1,1,25,3,62,2,45
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,730.31,805.13,884.39,1165.99,906.3,981.12,1060.38,1341.98,1082.29,1157.11,1236.36,1517.97,0,0,Included in Medical,Included in Medical,400,17009,0,453.15,490.56,530.19,670.99,629.14,666.55,706.18,846.98,805.13,842.54,882.17,1022.97,200,20,1,4,3,10,75,35,277.16,290.45,314.57,354.2,495,752.2,175.99,554.32,629.14,708.4,990,1504.4,10,60,150,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,730.31,805.13,884.39,1165.99,906.3,981.12,1060.38,1341.98,1082.29,1157.11,1236.36,1517.97,0,0,Included in Medical,Included in Medical,400,17009,0,453.15,490.56,530.19,670.99,629.14,666.55,706.18,846.98,805.13,842.54,882.17,1022.97,200,20,1,4,3,10,75,35,277.16,290.45,314.57,354.2,495,752.2,175.99,554.32,629.14,708.4,990,1504.4,10,60,150,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,730.31,805.13,884.39,1165.99,906.3,981.12,1060.38,1341.98,1082.29,1157.11,1236.36,1517.97,0,0,Included in Medical,Included in Medical,400,17017,0,453.15,490.56,530.19,670.99,629.14,666.55,706.18,846.98,805.13,842.54,882.17,1022.97,200,20,1,4,3,10,75,35,277.16,290.45,314.57,354.2,495,752.2,175.99,554.32,629.14,708.4,990,1504.4,10,60,150,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,730.31,805.13,884.39,1165.99,906.3,981.12,1060.38,1341.98,1082.29,1157.11,1236.36,1517.97,0,0,Included in Medical,Included in Medical,400,17017,0,453.15,490.56,530.19,670.99,629.14,666.55,706.18,846.98,805.13,842.54,882.17,1022.97,200,20,1,4,3,10,75,35,277.16,290.45,314.57,354.2,495,752.2,175.99,554.32,629.14,708.4,990,1504.4,10,60,150,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,Blue Cross Blue Shield of Illinois,PPO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,730.31,805.13,884.39,1165.99,906.3,981.12,1060.38,1341.98,1082.29,1157.11,1236.36,1517.97,0,0,Included in Medical,Included in Medical,400,17001,0,453.15,490.56,530.19,670.99,629.14,666.55,706.18,846.98,805.13,842.54,882.17,1022.97,200,20,1,4,3,10,75,35,277.16,290.45,314.57,354.2,495,752.2,175.99,554.32,629.14,708.4,990,1504.4,10,60,150,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,Coventry Health Care,PPO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,293.14,323.18,355,468.02,363.78,393.82,425.64,538.66,434.42,464.46,496.28,609.29,0,0,Included in Medical,Included in Medical,0,17009,0,181.89,196.91,212.82,269.33,252.53,267.55,283.46,339.97,323.17,338.19,354.1,410.61,0,0,6,12,6,12,0,0,111.25,116.59,126.27,142.18,198.69,301.94,70.64,222.5,252.54,284.36,397.38,603.88,25,0,0,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,Coventry Health Care,PPO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,293.14,323.18,355,468.02,363.78,393.82,425.64,538.66,434.42,464.46,496.28,609.29,0,0,Included in Medical,Included in Medical,0,17009,0,181.89,196.91,212.82,269.33,252.53,267.55,283.46,339.97,323.17,338.19,354.1,410.61,0,0,6,12,6,12,0,0,111.25,116.59,126.27,142.18,198.69,301.94,70.64,222.5,252.54,284.36,397.38,603.88,25,0,0,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,Coventry Health Care,PPO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,293.14,323.18,355,468.02,363.78,393.82,425.64,538.66,434.42,464.46,496.28,609.29,0,0,Included in Medical,Included in Medical,0,17017,0,181.89,196.91,212.82,269.33,252.53,267.55,283.46,339.97,323.17,338.19,354.1,410.61,0,0,6,12,6,12,0,0,111.25,116.59,126.27,142.18,198.69,301.94,70.64,222.5,252.54,284.36,397.38,603.88,25,0,0,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,Coventry Health Care,PPO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,293.14,323.18,355,468.02,363.78,393.82,425.64,538.66,434.42,464.46,496.28,609.29,0,0,Included in Medical,Included in Medical,0,17017,0,181.89,196.91,212.82,269.33,252.53,267.55,283.46,339.97,323.17,338.19,354.1,410.61,0,0,6,12,6,12,0,0,111.25,116.59,126.27,142.18,198.69,301.94,70.64,222.5,252.54,284.36,397.38,603.88,25,0,0,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,Coventry Health Care,PPO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,293.14,323.18,355,468.02,363.78,393.82,425.64,538.66,434.42,464.46,496.28,609.29,0,0,Included in Medical,Included in Medical,0,17001,0,181.89,196.91,212.82,269.33,252.53,267.55,283.46,339.97,323.17,338.19,354.1,410.61,0,0,6,12,6,12,0,0,111.25,116.59,126.27,142.18,198.69,301.94,70.64,222.5,252.54,284.36,397.38,603.88,25,0,0,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,0,0,Included in Medical,Included in Medical,40,17009,10,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,40,40,3,6,6,12,80,40,184.45,193.31,209.36,235.73,329.44,500.61,117.13,368.9,418.72,471.46,658.88,1001.22,40,40,200,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,0,0,Included in Medical,Included in Medical,40,17009,10,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,40,40,3,6,6,12,80,40,184.45,193.31,209.36,235.73,329.44,500.61,117.13,368.9,418.72,471.46,658.88,1001.22,40,40,200,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,0,0,Included in Medical,Included in Medical,40,17017,10,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,40,40,3,6,6,12,80,40,184.45,193.31,209.36,235.73,329.44,500.61,117.13,368.9,418.72,471.46,658.88,1001.22,40,40,200,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,0,0,Included in Medical,Included in Medical,40,17017,10,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,40,40,3,6,6,12,80,40,184.45,193.31,209.36,235.73,329.44,500.61,117.13,368.9,418.72,471.46,658.88,1001.22,40,40,200,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,0,0,Included in Medical,Included in Medical,40,17001,10,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,40,40,3,6,6,12,80,40,184.45,193.31,209.36,235.73,329.44,500.61,117.13,368.9,418.72,471.46,658.88,1001.22,40,40,200,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,615.48,678.54,745.33,982.66,763.8,826.86,893.66,1130.98,912.12,975.18,1041.98,1279.3,0,0,Included in Medical,Included in Medical,20,17009,7,381.9,413.43,446.83,565.49,530.22,561.75,595.15,713.81,678.54,710.06,743.47,862.13,20,20,1,3,5,11,70,35,233.58,244.79,265.11,298.51,417.17,633.92,148.32,467.16,530.22,597.02,834.34,1267.85,20,20,140,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,615.48,678.54,745.33,982.66,763.8,826.86,893.66,1130.98,912.12,975.18,1041.98,1279.3,0,0,Included in Medical,Included in Medical,20,17009,7,381.9,413.43,446.83,565.49,530.22,561.75,595.15,713.81,678.54,710.06,743.47,862.13,20,20,1,3,5,11,70,35,233.58,244.79,265.11,298.51,417.17,633.92,148.32,467.16,530.22,597.02,834.34,1267.85,20,20,140,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,615.48,678.54,745.33,982.66,763.8,826.86,893.66,1130.98,912.12,975.18,1041.98,1279.3,0,0,Included in Medical,Included in Medical,20,17017,7,381.9,413.43,446.83,565.49,530.22,561.75,595.15,713.81,678.54,710.06,743.47,862.13,20,20,1,3,5,11,70,35,233.58,244.79,265.11,298.51,417.17,633.92,148.32,467.16,530.22,597.02,834.34,1267.85,20,20,140,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,615.48,678.54,745.33,982.66,763.8,826.86,893.66,1130.98,912.12,975.18,1041.98,1279.3,0,0,Included in Medical,Included in Medical,20,17017,7,381.9,413.43,446.83,565.49,530.22,561.75,595.15,713.81,678.54,710.06,743.47,862.13,20,20,1,3,5,11,70,35,233.58,244.79,265.11,298.51,417.17,633.92,148.32,467.16,530.22,597.02,834.34,1267.85,20,20,140,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,615.48,678.54,745.33,982.66,763.8,826.86,893.66,1130.98,912.12,975.18,1041.98,1279.3,0,0,Included in Medical,Included in Medical,20,17001,7,381.9,413.43,446.83,565.49,530.22,561.75,595.15,713.81,678.54,710.06,743.47,862.13,20,20,1,3,5,11,70,35,233.58,244.79,265.11,298.51,417.17,633.92,148.32,467.16,530.22,597.02,834.34,1267.85,20,20,140,3,53,1,12,66,3,2,38,1,24,2,42
